"ID";"Teil_Name";"Kunde_id";"Sachnummer";"Erstelldatum";"Projekt_id"
202;"Klappe-Hikma";85;232;30.5.2024 00:00:00;54
203;"Tür Front";85;233;30.5.2024 00:00:00;54
204;"Schutzscheibe";85;234;30.5.2024 00:00:00;54
205;"Niederhalter V2";85;235;30.5.2024 00:00:00;54
206;"Verkleidung-L+R-U";85;236;31.5.2024 00:00:00;54
207;"Verkleidung HR";85;237;31.5.2024 00:00:00;54
208;"Verkleidung HL";85;238;31.5.2024 00:00:00;54
211;"GP-VCXG";88;239;29.7.2024 00:00:00;58
212;"HP-KP";88;240;29.7.2024 00:00:00;58
213;"SS-RGB-Leuchte";86;241;10.10.2024 00:00:00;57
215;"Monitorrahmen Schmal Touch";89;242;12.12.2024 00:00:00;60
216;"Führungsblech";91;243;26.2.2025 00:00:00;62
217;"Grundplatte Monitor";91;244;12.3.2025 00:00:00;62
220;"Umgehaeuse-Falcon";36;246;13.3.2025 00:00:00;63
222;"Versteifung";73;248;14.3.2025 00:00:00;63
223;"Abdeckung-UGH";73;249;14.3.2025 00:00:00;63
224;"HB-Adder";73;250;14.3.2025 00:00:00;63
226;"GP-Bateriestapel";93;251;18.8.2025 00:00:00;61
227;"AUSRICHTBLECH";93;252;19.8.2025 00:00:00;61
228;"DECKEL-BODEN";93;253;19.8.2025 00:00:00;61
230;"HW-Kamera";94;254;22.9.2025 00:00:00;64
